CustomerID,Segment,Region
C00000,Consumer,Europe
C00001,Consumer,US
C00002,Home Office,Europe
C00003,Corporate,US
C00004,Corporate,US
C00005,Consumer,Asia
C00006,Consumer,US
C00007,Corporate,US
C00008,Home Office,US
C00009,Consumer,US
C00010,Consumer,Europe
C00011,Consumer,US
C00012,Consumer,Europe
C00013,Consumer,US
C00014,Consumer,Asia
C00015,Corporate,US
C00016,Corporate,US
C00017,Corporate,US
C00018,Corporate,US
C00019,Home Office,US
C00020,Consumer,US
C00021,Corporate,Asia
C00022,Home Office,Europe
C00023,Consumer,Asia
C00024,Consumer,Europe
C00025,Consumer,Europe
C00026,Home Office,US
C00027,Consumer,Europe
C00028,Consumer,US
C00029,Consumer,Asia
C00030,Consumer,Europe
C00031,Home Office,US
C00032,Corporate,Asia
C00033,Corporate,Europe
C00034,Consumer,US
C00035,Consumer,Asia
C00036,Consumer,US
C00037,Home Office,Europe
C00038,Corporate,Asia
C00039,Home Office,Asia
C00040,Corporate,US
C00041,Corporate,Europe
C00042,Home Office,Europe
C00043,Consumer,Europe
C00044,Home Office,US
C00045,Home Office,US
C00046,Home Office,US
C00047,Home Office,Asia
C00048,Consumer,US
C00049,Consumer,Europe
C00050,Consumer,Europe
C00051,Home Office,US
C00052,Corporate,Asia
C00053,Consumer,Europe
C00054,Home Office,Asia
C00055,Consumer,Asia
C00056,Corporate,Asia
C00057,Home Office,US
C00058,Corporate,US
C00059,Home Office,Europe
C00060,Home Office,Asia
C00061,Consumer,Asia
C00062,Home Office,US
C00063,Home Office,US
C00064,Corporate,Europe
C00065,Home Office,US
C00066,Home Office,Asia
C00067,Corporate,Europe
C00068,Home Office,Europe
C00069,Corporate,Asia
C00070,Corporate,Europe
C00071,Corporate,US
C00072,Home Office,Asia
C00073,Consumer,Asia
C00074,Corporate,US
C00075,Corporate,US
C00076,Home Office,US
C00077,Consumer,Europe
C00078,Home Office,US
C00079,Home Office,US
C00080,Home Office,US
C00081,Home Office,Europe
C00082,Corporate,Europe
C00083,Consumer,US
C00084,Home Office,Asia
C00085,Home Office,Europe
C00086,Consumer,Asia
C00087,Home Office,Asia
C00088,Corporate,Europe
C00089,Consumer,Europe
C00090,Home Office,Asia
C00091,Consumer,Europe
C00092,Corporate,Asia
C00093,Corporate,US
C00094,Consumer,US
C00095,Consumer,Europe
C00096,Home Office,US
C00097,Consumer,US
C00098,Consumer,Asia
C00099,Home Office,US
C00100,Consumer,Asia
C00101,Corporate,US
C00102,Corporate,US
C00103,Consumer,US
C00104,Corporate,Europe
C00105,Home Office,Europe
C00106,Home Office,Asia
C00107,Consumer,US
C00108,Consumer,Europe
C00109,Consumer,US
C00110,Consumer,US
C00111,Home Office,Asia
C00112,Corporate,Asia
C00113,Home Office,Asia
C00114,Home Office,Europe
C00115,Home Office,Asia
C00116,Corporate,Europe
C00117,Consumer,Europe
C00118,Consumer,Asia
C00119,Home Office,US
C00120,Home Office,US
C00121,Consumer,US
C00122,Corporate,Europe
C00123,Corporate,US
C00124,Home Office,US
C00125,Corporate,Europe
C00126,Home Office,US
C00127,Consumer,Europe
C00128,Consumer,US
C00129,Consumer,US
C00130,Consumer,US
C00131,Consumer,US
C00132,Home Office,Europe
C00133,Corporate,US
C00134,Consumer,Europe
C00135,Home Office,Europe
C00136,Consumer,Asia
C00137,Consumer,Asia
C00138,Home Office,Asia
C00139,Consumer,US
C00140,Consumer,US
C00141,Corporate,US
C00142,Consumer,Europe
C00143,Corporate,US
C00144,Consumer,Europe
C00145,Home Office,US
C00146,Corporate,US
C00147,Corporate,US
C00148,Consumer,Europe
C00149,Corporate,Asia
C00150,Consumer,Asia
C00151,Home Office,Asia
C00152,Home Office,Asia
C00153,Consumer,US
C00154,Corporate,Asia
