OrderID,CustomerID,ProductID,OrderDate,Sales,Profit
O000000,C01292,P00111,2024-01-12,114,1409
O000001,C03697,P01764,2022-01-01,992,16
O000002,C06325,P00997,2024-06-05,4198,1354
O000003,C08355,P00447,2024-06-25,4772,1230
O000004,C08570,P01560,2023-08-28,2064,-235
O000005,C01421,P01939,2023-07-04,376,1497
O000006,C02506,P01628,2022-12-24,3928,-158
O000007,C02462,P00395,2024-03-15,775,510
O000008,C01356,P00959,2023-06-12,4352,83
O000009,C03839,P00648,2023-11-22,2492,568
O000010,C06525,P00122,2023-06-19,2068,420
O000011,C06104,P00009,2023-06-03,1393,1436
O000012,C09000,P00845,2023-05-09,3523,994
O000013,C00452,P00415,2023-12-03,314,-214
O000014,C06561,P00096,2023-02-13,3338,-468
O000015,C00614,P00066,2022-05-07,223,-431
O000016,C07101,P01364,2023-11-28,1224,283
O000017,C03559,P00673,2023-02-02,2237,-138
O000018,C02901,P01688,2022-07-17,3405,-153
O000019,C05942,P00983,2024-04-02,4372,606
O000020,C09049,P00339,2024-03-20,4481,-272
O000021,C05893,P01442,2022-07-15,2513,501
O000022,C00731,P01658,2024-02-05,2889,1057
O000023,C08532,P00696,2023-12-05,2996,-19
O000024,C04672,P00424,2023-05-19,79,106
O000025,C05164,P01046,2024-06-07,727,728
O000026,C06744,P00411,2023-08-17,1736,349
O000027,C05364,P00857,2024-09-14,4334,693
O000028,C08687,P00318,2022-03-12,4786,111
O000029,C07057,P01781,2023-08-08,1575,679
O000030,C03619,P01175,2024-01-17,230,263
O000031,C00465,P00716,2023-11-21,4940,-164
O000032,C07915,P01219,2023-04-06,4616,1360
O000033,C00891,P00574,2022-09-26,154,109
O000034,C02159,P00118,2022-05-26,2397,-231
O000035,C01328,P00089,2023-08-19,2628,683
O000036,C00206,P00344,2022-09-22,4395,-410
O000037,C06544,P00018,2023-04-23,2101,247
O000038,C09213,P01144,2024-08-03,4703,1172
O000039,C02139,P01338,2023-07-22,2841,1051
O000040,C06367,P01316,2024-01-31,4382,1049
O000041,C04048,P00429,2022-08-25,4686,98
O000042,C09477,P01551,2022-06-07,678,15
O000043,C05083,P00530,2022-07-13,599,390
O000044,C04907,P01440,2022-08-14,2495,986
O000045,C07444,P01253,2022-07-31,2419,1232
O000046,C03945,P01653,2022-06-07,1293,182
O000047,C09575,P00717,2024-03-15,2456,-339
O000048,C02216,P00403,2023-09-07,385,171
O000049,C08652,P00907,2023-05-21,3931,-333
O000050,C00573,P01174,2022-06-16,1174,520
O000051,C00050,P01401,2022-12-17,2278,1220
O000052,C05285,P00071,2023-04-11,3417,-422
O000053,C08938,P01656,2023-05-26,3654,-449
O000054,C01808,P00545,2024-02-15,746,99
O000055,C07610,P00305,2022-09-27,2409,1140
O000056,C09487,P01261,2023-04-16,3607,698
O000057,C03759,P00105,2024-01-30,1825,964
O000058,C00828,P01138,2022-12-19,2630,957
O000059,C01219,P00102,2022-05-15,3800,-356
O000060,C06369,P00319,2022-09-26,4360,43
O000061,C00325,P00657,2024-09-12,2797,1391
O000062,C05705,P01299,2023-07-16,4269,-27
O000063,C07742,P01263,2022-07-16,1836,1381
O000064,C00836,P01253,2023-12-27,4874,-405
O000065,C08507,P01808,2022-05-09,1106,541
O000066,C05315,P00870,2023-02-26,2557,-447
O000067,C03608,P00539,2024-01-29,2109,1069
O000068,C01846,P00502,2022-09-11,3433,40
O000069,C07020,P00068,2022-01-14,923,373
O000070,C06719,P00572,2024-08-31,3394,36
O000071,C03700,P01840,2024-06-30,808,282
O000072,C09464,P00673,2023-11-06,4033,-467
O000073,C06354,P00566,2023-03-31,2367,1053
O000074,C06600,P00621,2022-09-19,2618,208
O000075,C01296,P00112,2022-08-11,2187,687
O000076,C04049,P01491,2024-07-02,466,1340
O000077,C03287,P00637,2022-07-17,4171,730
O000078,C04389,P00150,2023-08-11,2568,689
O000079,C09271,P01898,2024-09-23,2085,145
O000080,C05331,P00745,2024-06-25,846,110
O000081,C08564,P01414,2022-05-17,2004,1053
O000082,C07475,P01303,2022-06-09,1049,438
O000083,C02356,P00487,2023-09-29,3440,1043
O000084,C00165,P01728,2024-08-04,3512,-203
O000085,C00980,P01345,2023-07-31,2877,52
O000086,C04182,P00572,2022-06-29,1099,448
O000087,C00543,P00918,2022-01-10,4973,642
O000088,C07479,P00717,2024-07-19,2505,-156
O000089,C09207,P01129,2022-04-25,3487,1295
O000090,C00924,P01950,2022-04-12,3939,1360
O000091,C07038,P01483,2022-05-27,1058,418
O000092,C07557,P00743,2024-02-06,991,-261
O000093,C04793,P00480,2023-02-16,2434,192
O000094,C06965,P01893,2023-07-31,2752,1403
O000095,C03962,P01885,2024-09-14,1951,313
O000096,C01661,P01215,2023-07-03,3821,189
O000097,C06692,P00915,2023-07-02,171,1409
O000098,C05545,P00006,2022-02-14,1776,1273
O000099,C06552,P01733,2024-04-25,4497,-150
