TransactionID,Date,AccountID,TransactionType,Amount
T000000,2023-09-09,A004,Deposit,8177
T000001,2023-11-07,A002,Withdrawal,6898
T000002,2023-07-01,A004,Deposit,-2700
T000003,2021-02-26,A004,Deposit,6556
T000004,2023-12-27,A004,Deposit,-4972
T000005,2021-11-04,A002,Deposit,5352
T000006,2022-06-12,A001,Deposit,6550
T000007,2022-03-23,A004,Withdrawal,-686
T000008,2021-01-17,A002,Withdrawal,186
T000009,2023-11-13,A001,Withdrawal,1561
T000010,2021-04-02,A002,Withdrawal,-3388
T000011,2023-03-08,A003,Deposit,-2038
T000012,2022-03-17,A002,Deposit,-3217
T000013,2022-06-09,A003,Deposit,2805
T000014,2022-11-09,A003,Deposit,8003
T000015,2022-01-13,A001,Deposit,260
T000016,2024-02-22,A002,Deposit,3934
T000017,2023-10-19,A002,Deposit,-4113
T000018,2022-05-26,A003,Withdrawal,-2100
T000019,2022-06-11,A001,Deposit,9433
T000020,2021-04-01,A003,Deposit,5375
T000021,2024-01-17,A004,Withdrawal,3780
T000022,2021-11-13,A001,Withdrawal,6143
T000023,2022-01-26,A001,Withdrawal,6141
T000024,2022-10-19,A002,Withdrawal,-504
T000025,2021-07-03,A004,Withdrawal,4982
T000026,2022-11-19,A002,Withdrawal,8411
T000027,2022-10-30,A001,Withdrawal,6829
T000028,2023-07-11,A003,Deposit,-259
T000029,2022-02-12,A003,Deposit,8402
T000030,2022-05-03,A004,Deposit,8574
T000031,2023-07-29,A003,Withdrawal,-3251
T000032,2022-08-02,A004,Withdrawal,8347
T000033,2023-10-05,A004,Withdrawal,2391
T000034,2021-12-05,A002,Withdrawal,9593
T000035,2023-12-19,A004,Withdrawal,-2056
T000036,2023-11-04,A003,Deposit,9705
T000037,2021-02-28,A003,Withdrawal,-3281
T000038,2022-06-21,A003,Withdrawal,2019
T000039,2021-12-21,A002,Deposit,2361
T000040,2021-08-12,A004,Deposit,7724
T000041,2021-11-26,A001,Withdrawal,-4774
T000042,2023-02-09,A003,Withdrawal,-3091
T000043,2021-12-08,A002,Deposit,279
T000044,2022-10-05,A002,Withdrawal,-1432
T000045,2023-12-01,A003,Deposit,4947
T000046,2023-08-12,A002,Deposit,4368
T000047,2022-02-11,A003,Deposit,8654
T000048,2022-03-04,A004,Withdrawal,-1166
T000049,2021-02-13,A002,Withdrawal,-987
T000050,2022-10-21,A001,Withdrawal,211
T000051,2021-04-07,A004,Withdrawal,4824
T000052,2022-04-14,A002,Deposit,-963
T000053,2023-07-15,A003,Deposit,-142
T000054,2021-03-12,A003,Deposit,5478
T000055,2023-01-08,A001,Deposit,9345
T000056,2021-10-08,A001,Deposit,-4711
T000057,2023-09-09,A001,Deposit,6856
T000058,2021-03-12,A003,Deposit,3281
T000059,2022-08-09,A004,Withdrawal,3284
T000060,2023-05-07,A004,Withdrawal,-3412
T000061,2021-08-01,A001,Deposit,4858
T000062,2023-09-14,A002,Deposit,419
T000063,2024-02-10,A004,Deposit,9167
T000064,2023-06-18,A002,Deposit,-3738
T000065,2024-01-01,A004,Deposit,-4852
T000066,2022-01-12,A004,Deposit,5468
T000067,2022-06-01,A004,Deposit,-4578
T000068,2021-03-06,A003,Withdrawal,5187
T000069,2022-07-01,A003,Deposit,2901
T000070,2022-11-23,A001,Deposit,2649
T000071,2021-10-17,A003,Deposit,6237
T000072,2021-03-26,A003,Deposit,576
T000073,2021-10-17,A003,Deposit,2346
T000074,2022-01-08,A002,Withdrawal,-3896
T000075,2023-08-26,A001,Withdrawal,7402
T000076,2021-04-26,A001,Deposit,-1999
T000077,2023-08-21,A003,Withdrawal,-1283
T000078,2021-07-17,A004,Withdrawal,-3258
T000079,2021-10-14,A003,Deposit,-224
T000080,2021-04-01,A004,Withdrawal,9402
T000081,2023-12-29,A003,Withdrawal,3376
T000082,2024-01-19,A004,Withdrawal,5256
T000083,2023-09-19,A002,Deposit,4327
T000084,2024-01-18,A003,Deposit,795
T000085,2023-07-14,A002,Withdrawal,-751
T000086,2024-03-24,A002,Deposit,117
T000087,2021-10-18,A002,Deposit,2015
T000088,2021-02-07,A002,Deposit,1424
T000089,2024-03-27,A004,Deposit,2145
T000090,2023-04-26,A004,Withdrawal,-4302
T000091,2023-10-20,A004,Deposit,9554
T000092,2022-06-26,A003,Withdrawal,-4219
T000093,2023-03-11,A003,Deposit,7916
T000094,2021-03-04,A004,Withdrawal,1417
T000095,2023-06-20,A004,Withdrawal,6777
T000096,2022-02-17,A003,Deposit,2924
T000097,2024-03-24,A001,Withdrawal,-3521
T000098,2023-05-12,A002,Withdrawal,-1147
T000099,2022-10-21,A003,Deposit,1105
T000100,2022-03-14,A004,Deposit,9923
T000101,2022-08-01,A004,Withdrawal,2446
T000102,2021-02-22,A002,Deposit,5478
T000103,2022-10-30,A004,Deposit,8863
T000104,2023-12-14,A001,Deposit,5512
T000105,2023-05-04,A001,Deposit,-1487
T000106,2023-01-20,A003,Withdrawal,3623
T000107,2022-10-04,A001,Withdrawal,7697
T000108,2022-03-28,A002,Deposit,534
T000109,2022-09-17,A003,Deposit,-915
T000110,2023-06-24,A002,Deposit,-2034
T000111,2024-02-20,A003,Deposit,8074
T000112,2024-01-12,A002,Deposit,9702
T000113,2023-12-30,A001,Deposit,-2702
T000114,2024-03-18,A002,Deposit,-3252
T000115,2021-02-13,A004,Withdrawal,9528
T000116,2022-08-17,A003,Withdrawal,4247
T000117,2023-02-28,A004,Deposit,2323
T000118,2023-09-19,A003,Withdrawal,4694
T000119,2024-01-06,A004,Withdrawal,4775
T000120,2022-03-08,A004,Deposit,-1427
T000121,2022-03-23,A002,Deposit,6653
T000122,2022-04-28,A002,Withdrawal,5395
T000123,2024-01-06,A002,Deposit,6018
T000124,2023-10-28,A001,Deposit,6903
T000125,2023-05-13,A003,Deposit,5832
T000126,2023-04-01,A002,Deposit,4634
T000127,2023-05-17,A003,Deposit,-4348
T000128,2023-12-02,A003,Withdrawal,5537
T000129,2024-02-07,A003,Deposit,201
T000130,2021-04-20,A003,Withdrawal,2726
T000131,2024-03-31,A003,Deposit,6035
T000132,2023-04-04,A004,Withdrawal,5772
T000133,2022-02-06,A002,Withdrawal,-987
T000134,2021-10-14,A001,Deposit,7087
T000135,2022-06-10,A003,Withdrawal,-2915
T000136,2022-02-05,A001,Deposit,7991
T000137,2023-07-22,A002,Withdrawal,6558
T000138,2023-07-15,A003,Withdrawal,-1865
T000139,2022-02-13,A003,Withdrawal,-4557
T000140,2021-01-21,A001,Deposit,1048
T000141,2023-11-08,A004,Deposit,-2630
T000142,2022-06-14,A002,Withdrawal,8539
T000143,2023-12-17,A004,Withdrawal,5461
T000144,2023-02-15,A001,Withdrawal,462
T000145,2021-07-17,A002,Withdrawal,8295
T000146,2022-02-12,A002,Deposit,-1870
T000147,2022-10-22,A002,Deposit,9535
T000148,2024-01-02,A003,Withdrawal,1732
T000149,2023-02-23,A001,Deposit,3931
T000150,2022-06-29,A002,Deposit,1239
T000151,2021-01-22,A001,Deposit,6615
T000152,2021-06-15,A001,Withdrawal,-4574
T000153,2021-03-06,A001,Deposit,8656
T000154,2024-02-09,A003,Withdrawal,4577
T000155,2021-10-07,A004,Withdrawal,-1088
T000156,2022-01-11,A003,Deposit,-617
T000157,2021-01-19,A001,Withdrawal,-2950
T000158,2023-08-11,A001,Deposit,-1595
T000159,2023-06-17,A001,Withdrawal,2216
T000160,2022-06-28,A004,Withdrawal,2853
T000161,2022-01-17,A002,Deposit,-3445
T000162,2021-09-30,A002,Withdrawal,1867
T000163,2023-10-06,A003,Deposit,-4297
T000164,2021-07-12,A003,Withdrawal,-3007
T000165,2021-01-11,A004,Withdrawal,8005
T000166,2022-06-01,A003,Deposit,-848
T000167,2023-03-31,A001,Withdrawal,5201
T000168,2022-04-09,A003,Withdrawal,-270
T000169,2022-12-15,A002,Withdrawal,9142
T000170,2021-07-15,A001,Withdrawal,9180
T000171,2022-08-08,A002,Deposit,2608
T000172,2022-06-07,A004,Withdrawal,6711
T000173,2022-05-13,A001,Deposit,7516
T000174,2021-02-08,A001,Deposit,-4312
T000175,2023-01-22,A003,Withdrawal,8113
T000176,2022-09-25,A003,Withdrawal,6170
T000177,2023-02-13,A002,Withdrawal,2015
T000178,2024-03-28,A004,Withdrawal,6594
T000179,2021-11-30,A002,Deposit,4392
T000180,2022-10-10,A001,Withdrawal,8524
T000181,2023-02-03,A001,Withdrawal,2841
T000182,2022-04-18,A004,Withdrawal,501
T000183,2022-10-06,A003,Deposit,9942
T000184,2022-04-14,A002,Withdrawal,5862
T000185,2021-04-04,A003,Deposit,4568
T000186,2022-01-04,A002,Withdrawal,-1535
T000187,2024-02-07,A004,Withdrawal,3471
T000188,2023-03-17,A004,Withdrawal,9828
T000189,2023-04-13,A004,Deposit,-3763
T000190,2023-01-15,A004,Deposit,-1252
T000191,2021-06-22,A001,Withdrawal,-2298
T000192,2021-11-14,A001,Deposit,695
