CustomerID,CustomerName,Age,Gender,City
C33254,Customer_0,34,Female,Pokhara
C25094,Customer_1,24,Female,Lalitpur
C67714,Customer_2,42,Male,Lalitpur
C91664,Customer_3,62,Female,Pokhara
C31946,Customer_4,21,Male,Kathmandu
C89654,Customer_5,53,Female,Pokhara
C30464,Customer_6,23,Female,Biratnagar
C87039,Customer_7,48,Female,Pokhara
C31097,Customer_8,36,Female,Kathmandu
C84669,Customer_9,61,Female,Lalitpur
C85079,Customer_10,56,Male,Biratnagar
C04523,Customer_11,44,Female,Pokhara
C64235,Customer_12,27,Female,Pokhara
C62328,Customer_13,43,Male,Pokhara
C27154,Customer_14,36,Male,Lalitpur
C65885,Customer_15,56,Female,Kathmandu
C89262,Customer_16,20,Male,Biratnagar
C78239,Customer_17,62,Female,Kathmandu
C55115,Customer_18,30,Female,Kathmandu
C47423,Customer_19,45,Female,Pokhara
C93603,Customer_20,37,Male,Biratnagar
C43570,Customer_21,45,Female,Biratnagar
C98485,Customer_22,25,Male,Lalitpur
C08794,Customer_23,58,Female,Biratnagar
C72020,Customer_24,56,Female,Kathmandu
C25275,Customer_25,18,Male,Pokhara
C34499,Customer_26,20,Female,Pokhara
C86975,Customer_27,30,Female,Pokhara
C20450,Customer_28,45,Male,Kathmandu
C41635,Customer_29,42,Male,Lalitpur
C83367,Customer_30,50,Female,Lalitpur
C33226,Customer_31,55,Female,Biratnagar
C53738,Customer_32,23,Male,Pokhara
C52445,Customer_33,61,Female,Pokhara
C14248,Customer_34,62,Female,Pokhara
C86284,Customer_35,49,Male,Pokhara
C71812,Customer_36,62,Male,Pokhara
C85100,Customer_37,64,Female,Biratnagar
C16852,Customer_38,38,Male,Lalitpur
C86316,Customer_39,33,Male,Lalitpur
C30920,Customer_40,38,Male,Kathmandu
C68261,Customer_41,28,Female,Pokhara
C52647,Customer_42,54,Female,Lalitpur
C54510,Customer_43,53,Male,Lalitpur
C45132,Customer_44,52,Male,Biratnagar
C74687,Customer_45,36,Female,Biratnagar
C29744,Customer_46,37,Female,Kathmandu
C39041,Customer_47,35,Female,Kathmandu
C28914,Customer_48,64,Female,Lalitpur
C16807,Customer_49,58,Male,Kathmandu
C03294,Customer_50,31,Male,Lalitpur
C59559,Customer_51,32,Female,Biratnagar
C51109,Customer_52,48,Female,Kathmandu
C22595,Customer_53,18,Male,Lalitpur
C35497,Customer_54,20,Female,Lalitpur
C44360,Customer_55,33,Female,Biratnagar
C08804,Customer_56,40,Male,Lalitpur
C08186,Customer_57,28,Male,Pokhara
C77647,Customer_58,29,Female,Pokhara
C55157,Customer_59,27,Female,Lalitpur
C68694,Customer_60,49,Female,Kathmandu
C66770,Customer_61,33,Male,Pokhara
C31756,Customer_62,25,Female,Pokhara
C16102,Customer_63,55,Male,Pokhara
C91298,Customer_64,29,Female,Pokhara
C15262,Customer_65,41,Female,Kathmandu
C04640,Customer_66,45,Male,Biratnagar
C89452,Customer_67,25,Male,Kathmandu
C88890,Customer_68,45,Female,Biratnagar
C73076,Customer_69,53,Male,Pokhara
C93028,Customer_70,43,Female,Pokhara
C06584,Customer_71,25,Male,Kathmandu
C75358,Customer_72,45,Male,Kathmandu
C92202,Customer_73,45,Female,Biratnagar
C48300,Customer_74,54,Male,Kathmandu
C05964,Customer_75,58,Female,Lalitpur
C79358,Customer_76,53,Male,Kathmandu
C70576,Customer_77,44,Male,Pokhara
C79712,Customer_78,34,Female,Kathmandu
C91097,Customer_79,26,Female,Pokhara
C71189,Customer_80,50,Male,Lalitpur
C90837,Customer_81,37,Female,Pokhara
C32059,Customer_82,30,Female,Kathmandu
C67516,Customer_83,45,Female,Biratnagar
C53246,Customer_84,46,Female,Lalitpur
